driver_info,laps,time,gap,int.,kph,best,lap,race_id,season,session_type,lap_set_on,status,car_number,driver_name,driver_code,team_name,time_s,best_lap_s,gap_s
DNF29A. PeroniPERCampos Racing,10,13:53.161,DNF,-,186.031,1:21.721,4,1012,2020,ROUND1Summary,,DNF,29,A  Peroni,PER,Campos Racing,833.1610000000001,81.721,
DNF28C. DasDASCarlin Buzz Racing,5,7:44.984,DNF,-,166.178,1:23.591,3,1012,2020,ROUND1Summary,,DNF,28,C  Das,DAS,Carlin Buzz Racing,464.984,83.59100000000001,
17T. PourchairePOUART Grand Prix,24,38:25.185,-,-,161.644,1:21.229,9,1019,2020,ROUND2Summary,,,17,T  Pourchaire,POU,ART Grand Prix,2305.185,81.229,
23L. SargeantSARPREMA Racing,24,38:25.649,0.464,0.464,161.612,1:21.277,10,1019,2020,ROUND2Summary,,,23,L  Sargeant,SAR,PREMA Racing,2305.649,81.277,0.464
311D. BeckmannBECTrident,24,38:25.859,0.674,0.210,161.597,1:21.442,19,1019,2020,ROUND2Summary,,,311,D  Beckmann,BEC,Trident,2305.859,81.44200000000001,0.674
417R. VerschoorVERMP Motorsport,24,38:26.287,1.102,0.428,161.567,1:21.312,20,1019,2020,ROUND2Summary,,,417,R  Verschoor,VER,MP Motorsport,2306.287,81.312,1.102
51O. PiastriPIAPREMA Racing,24,38:26.990,1.805,0.703,161.518,1:20.968,20,1019,2020,ROUND2Summary,,,51,O  Piastri,PIA,PREMA Racing,2306.99,80.968,1.805
612O. CaldwellCALTrident,24,38:27.061,1.876,0.071,161.513,1:21.192,20,1019,2020,ROUND2Summary,,,612,O  Caldwell,CAL,Trident,2307.061,81.19200000000001,1.876
74M. FewtrellFEWHitech Grand Prix,24,38:27.382,2.197,0.321,161.491,1:21.083,20,1019,2020,ROUND2Summary,,,74,M  Fewtrell,FEW,Hitech Grand Prix,2307.382,81.083,2.197
82F. VestiVESPREMA Racing,24,38:27.779,2.594,0.397,161.463,1:21.193,20,1019,2020,ROUND2Summary,,,82,F  Vesti,VES,PREMA Racing,2307.779,81.193,2.594
99S. FernándezFERART Grand Prix,24,38:28.202,3.017,0.423,161.433,1:21.691,20,1019,2020,ROUND2Summary,,,99,S  Fernández,FER,ART Grand Prix,2308.202,81.691,3.017
1010L. ZendeliZENTrident,24,38:28.509,3.324,0.307,161.412,1:21.865,5,1019,2020,ROUND2Summary,,,1010,L  Zendeli,ZEN,Trident,2308.509,81.865,3.324
1129A. PeroniPERCampos Racing,24,38:28.847,3.662,0.338,161.388,1:21.539,4,1019,2020,ROUND2Summary,,,1129,A  Peroni,PER,Campos Racing,2308.847,81.539,3.662
126D. HaugerHAUHitech Grand Prix,24,38:29.153,3.968,0.306,161.367,1:21.715,4,1019,2020,ROUND2Summary,,,126,D  Hauger,HAU,Hitech Grand Prix,2309.153,81.715,3.968
1314E. FittipaldiFITHWA RACELAB,24,38:29.448,4.263,0.295,161.346,1:21.635,9,1019,2020,ROUND2Summary,,,1314,E  Fittipaldi,FIT,HWA RACELAB,2309.448,81.635,4.263
1424I. FragaFRACharouz Racing System,24,38:29.725,4.540,0.277,161.327,1:21.872,20,1019,2020,ROUND2Summary,,,1424,I  Fraga,FRA,Charouz Racing System,2309.725,81.872,4.54
1527E. AhmedAHMCarlin Buzz Racing,24,38:30.583,5.398,0.858,161.267,1:21.912,20,1019,2020,ROUND2Summary,,,1527,E  Ahmed,AHM,Carlin Buzz Racing,2310.583,81.912,5.398
1618B. ViscaalVISMP Motorsport,24,38:30.971,5.786,0.388,161.24,1:22.020,6,1019,2020,ROUND2Summary,,,1618,B  Viscaal,VIS,MP Motorsport,2310.971,82.02,5.786
1725D. SchumacherSCHCharouz Racing System,24,38:31.597,6.412,0.626,161.196,1:21.855,10,1019,2020,ROUND2Summary,,,1725,D  Schumacher,SCH,Charouz Racing System,2311.597,81.855,6.412
1819L. DunnerDUNMP Motorsport,24,38:33.564,8.379,1.787,161.059,1:22.141,9,1019,2020,ROUND2Summary,,,1819,L  Dunner,DUN,MP Motorsport,2313.564,82.14099999999999,8.379
1916J. DoohanDOOHWA RACELAB,24,38:33.773,8.588,0.209,161.045,1:22.106,20,1019,2020,ROUND2Summary,,,1916,J  Doohan,DOO,HWA RACELAB,2313.773,82.106,8.588
208A. SmolyarSMOART Grand Prix,24,38:34.109,8.924,0.336,161.021,1:21.956,9,1019,2020,ROUND2Summary,,,208,A  Smolyar,SMO,ART Grand Prix,2314.109,81.956,8.924
2130A. DeleddaDELCampos Racing,24,38:34.921,9.736,0.812,160.965,1:22.292,20,1019,2020,ROUND2Summary,,,2130,A  Deledda,DEL,Campos Racing,2314.921,82.292,9.736
2221F. MalvestitiMALJenzer Motorsport,24,38:35.196,10.011,0.275,160.946,1:22.229,8,1019,2020,ROUND2Summary,,,2221,F  Malvestiti,MAL,Jenzer Motorsport,2315.196,82.229,10.011
2320C. WilliamsWILJenzer Motorsport,24,38:36.527,11.342,1.331,160.853,1:22.159,9,1019,2020,ROUND2Summary,,,2320,C  Williams,WIL,Jenzer Motorsport,2316.527,82.15899999999999,11.342
2423R. StanekSTACharouz Racing System,24,39:01.777,6.592,0.180,161.184,1:22.397,20,1019,2020,ROUND2Summary,,,2423,R  Stanek,STA,Charouz Racing System,2341.777,82.39699999999999,6.592
2526C. NovalakNOVCarlin Buzz Racing,23,38:41.493,1 LAP,1 LAP,153.813,1:22.058,19,1019,2020,ROUND2Summary,,,2526,C  Novalak,NOV,Carlin Buzz Racing,2321.493,82.05799999999999,
DNF5L. LawsonLAWHitech Grand Prix,20,30:49.606,DNF,-,167.842,1:21.255,9,1019,2020,ROUND2Summary,,DNF,5,L  Lawson,LAW,Hitech Grand Prix,1849.606,81.255,
DNF15J. HughesHUGHWA RACELAB,20,30:50.131,DNF,-,167.794,1:21.463,9,1019,2020,ROUND2Summary,,DNF,15,J  Hughes,HUG,HWA RACELAB,1850.131,81.463,
DNF28C. DasDASCarlin Buzz Racing,19,29:40.176,DNF,-,165.656,1:22.407,8,1019,2020,ROUND2Summary,,DNF,28,C  Das,DAS,Carlin Buzz Racing,1780.176,82.407,
DNF31S. FloerschFLOCampos Racing,10,14:01.308,DNF,-,184.23,1:22.014,9,1019,2020,ROUND2Summary,,DNF,31,S  Floersch,FLO,Campos Racing,841.308,82.014,
22M. NanniniNANJenzer Motorsport,7,39:16.143,17 LAPS,3 LAPS,45.99,1:50.656,7,1019,2020,ROUND2Summary,,,22,M  Nannini,NAN,Jenzer Motorsport,2356.143,110.656,
111D. BeckmannBECTrident,22,43:54.224,-,-,131.663,1:51.509,18,1014,2020,ROUND3Summary,,,111,D  Beckmann,BEC,Trident,2634.224,111.509,
21O. PiastriPIAPREMA Racing,22,43:55.250,1.026,1.026,131.612,1:50.721,19,1014,2020,ROUND3Summary,,,21,O  Piastri,PIA,PREMA Racing,2635.25,110.721,1.026
36D. HaugerHAUHitech Grand Prix,22,43:55.746,1.522,0.496,131.587,1:52.544,2,1014,2020,ROUND3Summary,,,36,D  Hauger,HAU,Hitech Grand Prix,2635.746,112.544,1.522
43L. SargeantSARPREMA Racing,22,43:56.199,1.975,0.453,131.564,1:52.523,12,1014,2020,ROUND3Summary,,,43,L  Sargeant,SAR,PREMA Racing,2636.199,112.523,1.975
517R. VerschoorVERMP Motorsport,22,43:56.721,2.497,0.522,131.538,1:52.661,16,1014,2020,ROUND3Summary,,,517,R  Verschoor,VER,MP Motorsport,2636.721,112.661,2.497
67T. PourchairePOUART Grand Prix,22,43:56.948,2.724,0.227,131.527,1:52.399,18,1014,2020,ROUND3Summary,,,67,T  Pourchaire,POU,ART Grand Prix,2636.948,112.399,2.724
78A. SmolyarSMOART Grand Prix,22,43:57.444,3.220,0.496,131.502,1:52.220,19,1014,2020,ROUND3Summary,,,78,A  Smolyar,SMO,ART Grand Prix,2637.444,112.22,3.22
89S. FernándezFERART Grand Prix,22,43:57.818,3.594,0.374,131.484,1:53.080,19,1014,2020,ROUND3Summary,,,89,S  Fernández,FER,ART Grand Prix,2637.818,113.08,3.594
914E. FittipaldiFITHWA RACELAB,22,43:58.163,3.939,0.345,131.466,1:52.686,14,1014,2020,ROUND3Summary,,,914,E  Fittipaldi,FIT,HWA RACELAB,2638.163,112.686,3.939
1029A. PeroniPERCampos Racing,22,43:58.889,4.665,0.726,131.43,1:52.972,19,1014,2020,ROUND3Summary,,,1029,A  Peroni,PER,Campos Racing,2638.889,112.972,4.665
114M. FewtrellFEWHitech Grand Prix,22,43:59.782,5.558,0.893,131.386,1:53.903,4,1014,2020,ROUND3Summary,,,114,M  Fewtrell,FEW,Hitech Grand Prix,2639.782,113.903,5.558
1226C. NovalakNOVCarlin Buzz Racing,22,44:00.135,5.911,0.353,131.368,1:53.253,7,1014,2020,ROUND3Summary,,,1226,C  Novalak,NOV,Carlin Buzz Racing,2640.135,113.253,5.911
1325D. SchumacherSCHCharouz Racing System,22,44:00.575,6.351,0.440,131.346,1:54.290,17,1014,2020,ROUND3Summary,,,1325,D  Schumacher,SCH,Charouz Racing System,2640.575,114.29,6.351
1431S. FloerschFLOCampos Racing,22,44:01.808,7.584,1.233,131.285,1:53.802,15,1014,2020,ROUND3Summary,,,1431,S  Floersch,FLO,Campos Racing,2641.808,113.802,7.584
1520C. WilliamsWILJenzer Motorsport,22,44:02.382,8.158,0.574,131.257,1:52.450,16,1014,2020,ROUND3Summary,,,1520,C  Williams,WIL,Jenzer Motorsport,2642.382,112.45,8.158
1610L. ZendeliZENTrident,22,44:03.477,9.253,1.095,131.202,1:52.876,18,1014,2020,ROUND3Summary,,,1610,L  Zendeli,ZEN,Trident,2643.477,112.876,9.253
1718B. ViscaalVISMP Motorsport,22,44:03.601,9.377,-,131.196,1:51.321,16,1014,2020,ROUND3Summary,,,1718,B  Viscaal,VIS,MP Motorsport,2643.601,111.321,9.377
1812O. CaldwellCALTrident,22,44:04.247,10.023,0.646,131.164,1:53.413,15,1014,2020,ROUND3Summary,,,1812,O  Caldwell,CAL,Trident,2644.247,113.413,10.023
1915J. HughesHUGHWA RACELAB,22,44:05.609,11.385,1.362,131.096,1:51.374,19,1014,2020,ROUND3Summary,,,1915,J  Hughes,HUG,HWA RACELAB,2645.609,111.374,11.385
2023R. StanekSTACharouz Racing System,22,44:06.455,12.231,0.846,131.055,1:54.011,19,1014,2020,ROUND3Summary,,,2023,R  Stanek,STA,Charouz Racing System,2646.455,114.011,12.231
2127E. AhmedAHMCarlin Buzz Racing,22,44:18.878,24.654,12.423,130.442,1:55.282,5,1014,2020,ROUND3Summary,,,2127,E  Ahmed,AHM,Carlin Buzz Racing,2658.878,115.282,24.654
2228C. DasDASCarlin Buzz Racing,22,44:44.194,49.970,25.316,129.212,1:54.156,11,1014,2020,ROUND3Summary,,,2228,C  Das,DAS,Carlin Buzz Racing,2684.194,114.156,49.97
2330A. DeleddaDELCampos Racing,22,44:45.274,51.050,1.080,129.16,1:54.783,17,1014,2020,ROUND3Summary,,,2330,A  Deledda,DEL,Campos Racing,2685.274,114.783,51.05
2422M. NanniniNANJenzer Motorsport,21,44:42.778,1 LAP,1 LAP,123.401,1:52.760,18,1014,2020,ROUND3Summary,,,2422,M  Nannini,NAN,Jenzer Motorsport,2682.778,112.76,
2516J. DoohanDOOHWA RACELAB,22,46:05.976,121.7,60.702,126.305,1:52.631,14,1014,2020,ROUND3Summary,,,2516,J  Doohan,DOO,HWA RACELAB,2765.976,112.631,121.7
DNF21F. MalvestitiMALJenzer Motorsport,19,37:14.682,DNF,-,134.03,1:54.034,16,1014,2020,ROUND3Summary,,DNF,21,F  Malvestiti,MAL,Jenzer Motorsport,2234.682,114.034,
DNF2F. VestiVESPREMA Racing,12,23:56.084,DNF,-,131.688,1:54.408,5,1014,2020,ROUND3Summary,,DNF,2,F  Vesti,VES,PREMA Racing,1436.084,114.408,
DNF5L. LawsonLAWHitech Grand Prix,7,13:32.747,DNF,-,135.659,1:53.068,4,1014,2020,ROUND3Summary,,DNF,5,L  Lawson,LAW,Hitech Grand Prix,812.747,113.068,
DNF24I. FragaFRACharouz Racing System,2,4:41.824,DNF,-,111.414,-,-,1014,2020,ROUND3Summary,,DNF,24,I  Fraga,FRA,Charouz Racing System,281.824,,
DNF19L. DunnerDUNMP Motorsport,1,2:33.110,DNF,-,102.067,-,-,1014,2020,ROUND3Summary,,DNF,19,L  Dunner,DUN,MP Motorsport,153.11,,
11D. HaugerHAUPREMA Racing,22,35:47.216,-,-,172.225,1:36.643,2,1022,2021,ROUND1Summary,,,11,D  Hauger,HAU,PREMA Racing,2147.216,96.643,
24J. DoohanDOOTrident,22,35:50.937,3.721,3.721,171.928,1:36.949,2,1022,2021,ROUND1Summary,,,24,J  Doohan,DOO,Trident,2150.937,96.949,3.721
314M. NanniniNANHWA RACELAB,22,35:53.369,6.153,2.432,171.733,1:36.916,2,1022,2021,ROUND1Summary,,,314,M  Nannini,NAN,HWA RACELAB,2153.369,96.916,6.153
43O. CaldwellCALPREMA Racing,22,35:55.340,8.124,1.971,171.576,1:36.902,5,1022,2021,ROUND1Summary,,,43,O  Caldwell,CAL,PREMA Racing,2155.34,96.902,8.124
517V. MartinsMARMP Motorsport,22,35:58.764,11.548,3.424,171.304,1:36.980,5,1022,2021,ROUND1Summary,,,517,V  Martins,MAR,MP Motorsport,2158.764,96.98,11.548
65C. NovalakNOVTrident,22,35:59.553,12.337,0.789,171.242,1:37.239,5,1022,2021,ROUND1Summary,,,65,C  Novalak,NOV,Trident,2159.553,97.239,12.337
77F. VestiVESART Grand Prix,22,36:00.671,13.455,1.118,171.153,1:37.229,6,1022,2021,ROUND1Summary,,,77,F  Vesti,VES,ART Grand Prix,2160.671,97.229,13.455
818C. ColletCCOMP Motorsport,22,36:01.269,14.053,0.598,171.106,1:37.303,3,1022,2021,ROUND1Summary,,,818,C  Collet,CCO,MP Motorsport,2161.269,97.303,14.053
929L. SargeantSARCharouz Racing System,22,36:02.651,15.435,1.382,170.996,1:37.101,5,1022,2021,ROUND1Summary,,,929,L  Sargeant,SAR,Charouz Racing System,2162.651,97.101,15.435
1012R. StanekSTAHitech Grand Prix,22,36:02.693,15.477,0.042,170.993,1:37.176,4,1022,2021,ROUND1Summary,,,1012,R  Stanek,STA,Hitech Grand Prix,2162.693,97.176,15.477
118A. SmolyarSMOART Grand Prix,22,36:03.278,16.062,0.585,170.947,1:37.065,4,1022,2021,ROUND1Summary,,,118,A  Smolyar,SMO,ART Grand Prix,2163.278,97.065,16.062
126D. SchumacherSCHTrident,22,36:03.904,16.688,0.626,170.897,1:37.176,3,1022,2021,ROUND1Summary,,,126,D  Schumacher,SCH,Trident,2163.904,97.176,16.688
132A. LeclercLECPREMA Racing,22,36:04.454,17.238,0.550,170.854,1:37.226,17,1022,2021,ROUND1Summary,,,132,A  Leclerc,LEC,PREMA Racing,2164.454,97.226,17.238
149J. CorreaJCOART Grand Prix,22,36:08.465,21.249,4.011,170.538,1:37.495,4,1022,2021,ROUND1Summary,,,149,J  Correa,JCO,ART Grand Prix,2168.465,97.495,21.249
1511A. IwasaIWAHitech Grand Prix,22,36:13.359,26.143,4.894,170.154,1:37.594,5,1022,2021,ROUND1Summary,,,1511,A  Iwasa,IWA,Hitech Grand Prix,2173.359,97.594,26.143
1625J. EdgarEDGCarlin Buzz,22,36:18.983,31.767,5.624,169.715,1:37.501,4,1022,2021,ROUND1Summary,,,1625,J  Edgar,EDG,Carlin Buzz,2178.983,97.501,31.767
1715O. RasmussenRASHWA RACELAB,22,36:19.604,32.388,0.621,169.666,1:37.564,4,1022,2021,ROUND1Summary,,,1715,O  Rasmussen,RAS,HWA RACELAB,2179.604,97.564,32.388
1810J. CrawfordCRAHitech Grand Prix,22,36:19.844,32.628,0.240,169.648,1:37.601,12,1022,2021,ROUND1Summary,,,1810,J  Crawford,CRA,Hitech Grand Prix,2179.844,97.601,32.628
1930E. FittipaldiFITCharouz Racing System,22,36:20.490,33.274,0.646,169.597,1:37.640,4,1022,2021,ROUND1Summary,,,1930,E  Fittipaldi,FIT,Charouz Racing System,2180.49,97.64,33.274
2019T. van der HelmVANMP Motorsport,22,36:21.098,33.882,0.608,169.55,1:37.908,4,1022,2021,ROUND1Summary,,,2019,T  van der Helm,VAN,MP Motorsport,2181.098,97.908,33.882
2126C. WilliamsWILJenzer Motorsport,22,36:21.285,34.069,0.187,169.536,1:37.668,5,1022,2021,ROUND1Summary,,,2126,C  Williams,WIL,Jenzer Motorsport,2181.285,97.668,34.069
2223I. CohenCOHCarlin Buzz,22,36:24.426,37.210,3.141,169.292,1:37.788,14,1022,2021,ROUND1Summary,,,2223,I  Cohen,COH,Carlin Buzz,2184.426,97.788,37.21
2331R. de GerusDEGCharouz Racing System,22,36:25.148,37.932,0.722,169.236,1:37.714,5,1022,2021,ROUND1Summary,,,2331,R  de Gerus,DEG,Charouz Racing System,2185.148,97.714,37.932
2427P. ChovetCHOJenzer Motorsport,22,36:25.793,38.577,0.645,169.186,1:37.534,6,1022,2021,ROUND1Summary,,,2427,P  Chovet,CHO,Jenzer Motorsport,2185.793,97.534,38.577
2522A. CordeelACOCampos Racing,22,36:26.438,39.222,0.645,169.136,1:37.554,5,1022,2021,ROUND1Summary,,,2522,A  Cordeel,ACO,Campos Racing,2186.438,97.554,39.222
2620L. TóthTOTCampos Racing,22,36:27.764,40.548,1.326,169.033,1:37.473,5,1022,2021,ROUND1Summary,,,2620,L  Tóth,TOT,Campos Racing,2187.764,97.473,40.548
2728F. UgranUGRJenzer Motorsport,22,36:40.894,53.678,13.130,168.025,1:38.262,3,1022,2021,ROUND1Summary,,,2728,F  Ugran,UGR,Jenzer Motorsport,2200.894,98.262,53.678
2816R. VillagómezVILHWA RACELAB,21,36:12.429,1 LAP,1 LAP,162.48,1:37.535,5,1022,2021,ROUND1Summary,,,2816,R  Villagómez,VIL,HWA RACELAB,2172.429,97.535,
2921L. ColomboLCOCampos Racing,21,36:29.069,1 LAP,16.640,161.244,1:37.229,4,1022,2021,ROUND1Summary,,,2921,L  Colombo,LCO,Campos Racing,2189.069,97.229,
3024K. FrederickFRECarlin Buzz,21,36:34.731,1 LAP,5.662,160.829,1:37.940,4,1022,2021,ROUND1Summary,,,3024,K  Frederick,FRE,Carlin Buzz,2194.731,97.94,
14J. DoohanDOOTrident,20,43:19.510,-,-,161.897,2:06.655,15,1023,2021,ROUND2Summary,,,14,J  Doohan,DOO,Trident,2599.51,126.655,
21D. HaugerHAUPREMA Racing,20,43:21.061,1.551,1.551,161.801,2:06.555,16,1023,2021,ROUND2Summary,,,21,D  Hauger,HAU,PREMA Racing,2601.061,126.555,1.551
318C. ColletCCOMP Motorsport,20,43:24.561,5.051,3.500,161.583,2:06.591,14,1023,2021,ROUND2Summary,,,318,C  Collet,CCO,MP Motorsport,2604.561,126.591,5.051
417V. MartinsMARMP Motorsport,20,43:26.747,7.237,2.186,161.448,2:06.940,14,1023,2021,ROUND2Summary,,,417,V  Martins,MAR,MP Motorsport,2606.747,126.94,7.237
55C. NovalakNOVTrident,20,43:33.755,14.245,7.008,161.015,2:07.052,15,1023,2021,ROUND2Summary,,,55,C  Novalak,NOV,Trident,2613.755,127.052,14.245
67F. VestiVESART Grand Prix,20,43:37.452,17.942,3.697,160.787,2:07.652,16,1023,2021,ROUND2Summary,,,67,F  Vesti,VES,ART Grand Prix,2617.452,127.652,17.942
711A. IwasaIWAHitech Grand Prix,20,43:42.584,23.074,5.132,160.473,2:07.887,15,1023,2021,ROUND2Summary,,,711,A  Iwasa,IWA,Hitech Grand Prix,2622.584,127.887,23.074
88A. SmolyarSMOART Grand Prix,20,43:44.393,24.883,1.809,160.362,2:08.347,15,1023,2021,ROUND2Summary,,,88,A  Smolyar,SMO,ART Grand Prix,2624.393,128.347,24.883
99J. CorreaJCOART Grand Prix,20,43:45.059,25.549,0.666,160.321,2:07.654,14,1023,2021,ROUND2Summary,,,99,J  Correa,JCO,ART Grand Prix,2625.059,127.654,25.549
1010J. CrawfordCRAHitech Grand Prix,20,43:48.130,28.620,3.071,160.134,2:06.860,15,1023,2021,ROUND2Summary,,,1010,J  Crawford,CRA,Hitech Grand Prix,2628.13,126.86,28.62
1130E. FittipaldiFITCharouz Racing System,20,43:53.708,34.198,5.578,159.795,2:07.571,16,1023,2021,ROUND2Summary,,,1130,E  Fittipaldi,FIT,Charouz Racing System,2633.708,127.571,34.198
1226C. WilliamsWILJenzer Motorsport,20,43:55.528,36.018,1.820,159.685,2:07.498,15,1023,2021,ROUND2Summary,,,1226,C  Williams,WIL,Jenzer Motorsport,2635.528,127.498,36.018
132A. LeclercLECPREMA Racing,20,43:58.523,39.013,2.995,159.503,2:08.083,15,1023,2021,ROUND2Summary,,,132,A  Leclerc,LEC,PREMA Racing,2638.523,128.083,39.013
1425J. EdgarEDGCarlin Buzz,20,44:01.336,41.826,2.813,159.333,2:08.291,15,1023,2021,ROUND2Summary,,,1425,J  Edgar,EDG,Carlin Buzz,2641.336,128.291,41.826
1512R. StanekSTAHitech Grand Prix,20,44:01.889,42.379,0.553,159.3,2:08.220,15,1023,2021,ROUND2Summary,,,1512,R  Stanek,STA,Hitech Grand Prix,2641.889,128.22,42.379
1619T. van der HelmVANMP Motorsport,20,44:03.904,44.394,2.015,159.179,2:08.263,13,1023,2021,ROUND2Summary,,,1619,T  van der Helm,VAN,MP Motorsport,2643.904,128.263,44.394
1724K. FrederickFRECarlin Buzz,20,44:04.849,45.339,0.945,159.122,2:08.033,17,1023,2021,ROUND2Summary,,,1724,K  Frederick,FRE,Carlin Buzz,2644.849,128.033,45.339
1827J. HoggardHOGJenzer Motorsport,20,44:05.392,45.882,0.543,159.089,2:07.521,16,1023,2021,ROUND2Summary,,,1827,J  Hoggard,HOG,Jenzer Motorsport,2645.392,127.521,45.882
1921L. ColomboLCOCampos Racing,20,44:07.182,47.672,1.790,158.982,2:07.540,14,1023,2021,ROUND2Summary,,,1921,L  Colombo,LCO,Campos Racing,2647.182,127.54,47.672
2014M. NanniniNANHWA RACELAB,20,44:08.029,48.519,0.847,158.931,2:07.634,14,1023,2021,ROUND2Summary,,,2014,M  Nannini,NAN,HWA RACELAB,2648.029,127.634,48.519
2131R. de GerusDEGCharouz Racing System,20,44:08.369,48.859,0.340,158.91,1:59.335,17,1023,2021,ROUND2Summary,,,2131,R  de Gerus,DEG,Charouz Racing System,2648.369,119.335,48.859
2215O. RasmussenRASHWA RACELAB,20,44:13.427,53.917,5.058,158.607,2:08.540,18,1023,2021,ROUND2Summary,,,2215,O  Rasmussen,RAS,HWA RACELAB,2653.427,128.54,53.917
2316R. VillagómezVILHWA RACELAB,20,44:14.170,54.660,0.743,158.563,2:07.472,15,1023,2021,ROUND2Summary,,,2316,R  Villagómez,VIL,HWA RACELAB,2654.17,127.472,54.66
2423I. CohenCOHCarlin Buzz,20,44:16.198,56.688,2.028,158.442,2:07.309,16,1023,2021,ROUND2Summary,,,2423,I  Cohen,COH,Carlin Buzz,2656.198,127.309,56.688
2522A. CordeelACOCampos Racing,20,44:26.601,62.091,5.403,158.12,2:09.202,13,1023,2021,ROUND2Summary,,,2522,A  Cordeel,ACO,Campos Racing,2666.601,129.202,62.091
2628F. UgranUGRJenzer Motorsport,20,44:27.757,68.247,6.156,157.755,2:09.030,14,1023,2021,ROUND2Summary,,,2628,F  Ugran,UGR,Jenzer Motorsport,2667.757,129.03,68.247
